,Stn_code,Location,State_Name,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,FS_min,FS_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
0,26,"WELL   AT   GRAM   PANCHAYAT OFFICE, KAANURU, VIJAYWADA",ANDHRA PRADESH,24.00,25.00,7.70,7.80,1742.00,1894.00,BDL,BDL,0.54,0.63,3.00,3.00,24.00,28.00,BDL,BDL,1026.00,1210.00,0.72,1.20,BDL,BDL
1,1513,"BOREWELL  KRISHNA  MURTHY, D.NO.   48-16-43   AUTONAGAR
VIJJAYAWADA",ANDHRA PRADESH,24.00,24.00,7.70,7.80,1920.00,1926.00,BDL,1.20,0.57,0.82,3.00,3.00,75.00,75.00,BDL,BDL,1140.00,1190.00,0.26,0.92,BDL,BDL
2,1514,BOREWELL       VIJAY       KUMAR AUTONAGAR VIJAYAWADA,ANDHRA PRADESH,24.00,25.00,7.60,7.80,1859.00,1924.00,1.20,1.40,0.53,0.90,3.00,3.00,39.00,64.00,BDL,BDL,1100.00,1220.00,0.34,1.04,BDL,BDL
3,1516,"BOREWELL         OF         NAVLOK GARDENS, NELLORE",ANDHRA PRADESH,27.00,27.00,8.20,8.20,984.00,984.00,BDL,BDL,1.74,1.74,3.00,3.00,23.00,23.00,BDL,BDL,600.00,600.00,1.16,1.16,-,-
4,1517,BOREWELL                           NEAR TUNGBHADRA RIVER KURNOOL,ANDHRA PRADESH,22.00,28.00,6.80,7.50,4640.00,5860.00,BDL,2.20,6.61,7.20,BDL,BDL,BDL,BDL,-,-,3248.00,3517.00,1.50,1.90,-,-
5,1518,"BOREWELL        AT        NANDYAL
(KUNDU)","ANDHRA
PRADESH",20.00,27.00,6.10,7.20,4820.00,6546.00,BDL,2.80,1.83,10.60,BDL,BDL,BDL,BDL,-,-,2896.00,4582.00,1.00,1.20,-,-
6,1519,BOREWELL AT NAGIRI,ANDHRA PRADESH,26.00,30.00,6.20,6.90,1620.00,1756.00,1.20,1.80,2.90,4.32,BDL,BDL,BDL,BDL,-,-,973.00,1226.00,0.50,0.60,-,-
7,1520,"BOREWELL                           NEAR SWARNAMUKHI      RIVER      AT
SRIKALAHASTI",ANDHRA PRADESH,28.00,29.00,6.80,6.90,837.00,1310.00,BDL,2.50,1.54,5.17,BDL,BDL,BDL,BDL,-,-,586.00,784.00,0.50,0.50,-,-
8,1521,"OPEN     WELL     NEAR     RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM",ANDHRA PRADESH,26.00,26.00,7.80,7.80,1880.00,3010.00,2.00,2.90,2.30,6.67,4.00,4.00,69.00,93.00,-,-,1212.00,1888.00,0.89,1.15,BDL,BDL
9,1522,"OPEN    WELL    PEDDANUVVI    -
VIZIANAGARAM","ANDHRA
PRADESH",26.00,28.00,7.30,8.40,1950.00,2060.00,1.10,2.30,2.28,3.46,3.00,4.00,39.00,64.00,-,-,1320.00,1396.00,0.21,0.98,BDL,BDL
10,1523,"BOREWELL NEAR M/S ANDHRA SUGARS LTD. , KOVVUR",ANDHRA PRADESH,22.00,29.00,7.50,7.90,234.00,612.00,1.80,1.90,BDL,4.90,3.00,7.00,28.00,75.00,-,-,160.00,394.00,BDL,0.38,BDL,BDL
11,1524,"OPEN    WELL    NEAR    PARTAP
NAGAR BRIDGE -KAKINADA","ANDHRA
PRADESH",27.00,30.00,7.10,7.80,1740.00,1820.00,1.60,2.50,0.97,12.26,3.00,4.00,64.00,93.00,-,-,1180.00,1240.00,0.58,0.92,BDL,BDL
12,3087,"BORE    WELL    NEAR    VILLAGE SECRETARIAT, PATHAPADU (V)",ANDHRA PRADESH,26.00,26.00,7.30,7.50,2279.00,2992.00,BDL,1.20,4.26,7.35,3.00,3.00,23.00,64.00,BDL,BDL,1340.00,1820.00,0.56,0.67,BDL,BDL
13,3089,"HAND  PUMP  AT  TANAM  VILL., VISHAKHAPATNAM",ANDHRA PRADESH,26.00,27.00,7.40,8.00,1480.00,2220.00,1.20,1.40,5.94,23.72,3.00,7.00,75.00,93.00,-,-,1244.00,1540.00,0.80,0.90,BDL,BDL
