,Stn_code,Location,State_Name,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
0,3092.0,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM",ANDHRA PRADESH,28,31,7.4,8.1,712,1139,2,2.4,0.9,7.95,3,4,64,75,492,754,1,1.1,0.001,0.001
1,4360.0,"BORE WELL AT IDA,
RAMANAYYAPETA, KKAINADA",ANDHRA PRADESH,27,29,7.7,7.8,990,1280,1.8,2,1,3.48,2,7,75,93,660,868,0.4,0.4,0.007,0.009
2,3091.0,"BORE WELL AT KAPULUPPADA
DUMPSITE, VISHAKHAPATNAM",ANDHRA PRADESH,26,26,7.0,7.1,3340,4260,2.2,3.6,4.9,41.6,4,7,93,93,2320,2832,0.8,1.1,0.001,0.001
3,4353.0,"BORE WELL AT MANGARAJU HOUSE, GAJAPATHINAGARAM
VILLAGE, PAYAKARAOPETA (M)",ANDHRA PRADESH,25,27,7.9,8.1,2660,3940,1.4,2.7,3,46.25,3,4,63,93,1844,2640,0.4,0.5,0.001,0.001
4,3087.0,"BORE WELL NEAR VILLAGE
SECRETARIAT, PATHAPADU (V)",ANDHRA PRADESH,24,27,7.5,7.8,2031,2050,1.4,1.8,0.97,7.1,3,3,21,28,1210,1218,0.4,1,0.001,0.001
5,4355.0,"BORE WELL, CHIPPADA VILLAGE, BHEEMUNIPATNAM (M)",ANDHRA PRADESH,25,27,7.9,8.0,660,1482,2.2,2.2,2.05,3.6,4,7,43,120,442,980,0.4,1.4,0.001,0.001
6,4354.0,"BORE WELL, SRI NOOKATATA
TEMPLE RAJAYYAPETA VILLAGE, NAKKAPALLI (M)",ANDHRA PRADESH,25,27,7.4,7.6,11120,11420,2.2,2.5,2.2,15.4,7,9,120,150,7340,7968,0.3,0.7,0.001,0.001
7,4394.0,"BOREWELL AT APLLC OFFICE INDUSTRIAL ESTATE GROWTH CENTRE, THUMAKUNTA,
HINDUPUR (M)",ANDHRA PRADESH,26,28,6.9,7.1,1584,3239,1,1,5.8,7.9,2,4,2,21,901,1764,0.6,1.3,0.001,0.001
8,4395.0,"BOREWELL AT APLLC OFFICE INDUSTRIAL ESTATE,
ANANTAPURAM (M)",ANDHRA PRADESH,26,28,7.0,7.1,3558,3780,1,1,10.4,11.4,2,6,2,33,1868,2144,0.5,1.5,0.001,0.001
9,4377.0,"BOREWELL AT IMITATION JEWELLARY PARK,
MACHILIPTNAM",ANDHRA PRADESH,27,27,8.1,8.1,1896,1920,1.4,1.8,0.3,2.8,3,3,14,21,1158,1170,0.8,0.9,0.001,0.001
10,1519.0,BOREWELL AT NAGIRI,ANDHRA PRADESH,28,29,7.1,7.3,1872,2741,1,1,5.2,6.8,2,4,2,16,1061,1361,0.5,0.5,0.001,0.001
11,1518.0,"BOREWELL AT NANDYAL
(KUNDU)",ANDHRA PRADESH,23,27,7.2,7.3,6619,7770,1,1,5.8,6.2,2,2,2,14,4068,4413,1,1.1,0.001,0.001
12,4364.0,"BOREWELL AT RAJIV GRUHA
KA;PA, NEAR AP PAPER MAILLS WORKERS COLONY,",ANDHRA PRADESH,28,28,7.6,7.6,1048,1048,1.5,1.5,3.22,3.22,3,3,93,93,680,680,0.7,0.7,0.001,0.001
13,,"MALLAYAPETA, KATHERU,
RAJAMAHENDRAVARAM",,,,,,,,,,,,,,,,,,,,,
14,4350.0,"BOREWELL AT ZP HIGH SCHOOL, UDDANAM REGION,
AMALAPADU (V) VAJRAPUKOTTURU",ANDHRA PRADESH,24,24,7.1,7.1,1140,1140,2.4,2.4,8,8,4,4,93,93,746,746,0.8,0.8,0.002,0.003
15,4384.0,"BOREWELL IN FRONT OF M/S BHAGEERADHA CHEMICALS & INDUSTRIES LTD, CHERUVUKOMMUPALEM (V)
ONGOLE (M)",ANDHRA PRADESH,22,23,7.2,7.3,9090,10500,2,2.2,5.2,7.41,3,3,23,28,5634,6600,1.4,1.7,0.001,0.001
16,1513.0,"BOREWELL KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR
VIJJAYAWADA",ANDHRA PRADESH,25,25,7.1,7.8,1877,1970,1.4,1.8,0.3,0.7,3,3,21,39,1120,1160,0.3,0.3,0.001,0.001
17,1523.0,"BOREWELL NEAR M/S ANDHRA
SUGARS LTD. , KOVVUR",ANDHRA PRADESH,24,26,7.0,7.6,310,1447,2,2,0.79,1.1,4,7,75,93,212,988,0.2,1.1,0.001,0.001
18,4392.0,"BOREWELL NEAR SRI GOVINDARAJA SWAMY TEMPLE, TIRUPATI TOWN",ANDHRA PRADESH,27,27,6.9,7.5,1380,1414,1,1,1.4,2.6,2,3,2,12,714,784,0.6,1.1,0.001,0.001
19,1520.0,"BOREWELL NEAR SWARNAMUKHI RIVER AT
SRIKALAHASTI",ANDHRA PRADESH,28,29,7.3,7.3,1027,1266,1,1,2.2,2.4,2,2,2,11,582,642,0.4,0.5,0.002,0.002
20,1517.0,"BOREWELL NEAR TUNGBHADRA
RIVER KURNOOL",ANDHRA PRADESH,23,26,7.8,7.9,4520,5663,1,1,6.7,10.1,2,3,2,29,2568,3370,1.3,1.8,0.001,0.001
21,1516.0,"BOREWELL OF NAVLOK
GARDENS, NELLORE",ANDHRA PRADESH,20,21,8.1,8.1,1080,1100,1.2,1.4,1.1,1.18,3,3,15,21,630,658,0.4,0.5,0.001,0.001
22,1514.0,"BOREWELL VIJAY KUMAR
AUTONAGAR VIJAYAWADA",ANDHRA PRADESH,25,25,7.2,7.9,1780,2080,1.4,1.8,0.3,0.6,3,3,20,23,1050,1220,0.2,0.5,0.001,0.001
23,4376.0,"BOREWELL WATER , APIIC
OFFICE, IDA KONDAPALLI, IBRAHIMPATNAM (M)",ANDHRA PRADESH,26,26,7.1,7.6,3850,3860,2,2.2,2.47,3.8,3,3,20,21,2310,2348,0.8,1,0.001,0.001
24,4380.0,"BOREWELL WATER , SRI VENKATESWARA SWAMY TEMPLE, VENKATAPALEM (V),
TULLUR (M)",ANDHRA PRADESH,22,22,7.1,7.5,860,899,1,1.8,0.3,1.5,3,3,14,15,508,550,0.5,0.6,0.001,0.001
25,4382.0,"BOREWELL WATER POLICE
STATION, AUTONAGAR, PEDAKAKANI, GUNTUR",ANDHRA PRADESH,21,22,7.1,8.1,4450,4580,2,2.2,3.5,3.86,3,3,28,28,2790,2840,0.2,0.8,0.001,0.001
26,4393.0,"CLOSED MSW DUMPSITE,
UKKAYAPALLI (V), KADAPA (M)",ANDHRA PRADESH,24,25,7.3,7.4,2810,3352,1,1,10.4,13.1,2,9,2,71,1589,1785,0.6,1.2,0.004,0.004
27,3090.0,"HAND PUMP AT PITTAVANIPALEM,
VISHAKHAPATNAM",ANDHRA PRADESH,27,27,6.7,7.6,1610,1983,2.2,2.2,2.5,18.8,3,4,75,75,1120,1312,0.3,0.5,0.001,0.001
28,3089.0,"HAND PUMP AT TANAM VILL.,
VISHAKHAPATNAM",ANDHRA PRADESH,27,28,7.2,7.9,2180,2180,2.1,2.2,1.6,13.1,4,4,75,93,1480,1524,1.1,1.3,0.001,0.001
