Unnamed: 0,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
0,28.0,31.0,7.4,8.1,712.0,1139.0,2.0,2.4,0.9,7.95,3.0,4.0,64.0,75.0,492.0,754.0,1.0,1.1,0.001,0.001
1,27.0,29.0,7.7,7.8,990.0,1280.0,1.8,2.0,1.0,3.48,2.0,7.0,75.0,93.0,660.0,868.0,0.4,0.4,0.007,0.009
2,26.0,26.0,7.0,7.1,3340.0,4260.0,2.2,3.6,4.9,41.6,4.0,7.0,93.0,93.0,2320.0,2832.0,0.8,1.1,0.001,0.001
3,25.0,27.0,7.9,8.1,2660.0,3940.0,1.4,2.7,3.0,46.25,3.0,4.0,63.0,93.0,1844.0,2640.0,0.4,0.5,0.001,0.001
4,24.0,27.0,7.5,7.8,2031.0,2050.0,1.4,1.8,0.97,7.1,3.0,3.0,21.0,28.0,1210.0,1218.0,0.4,1.0,0.001,0.001
5,25.0,27.0,7.9,8.0,660.0,1482.0,2.2,2.2,2.05,3.6,4.0,7.0,43.0,120.0,442.0,980.0,0.4,1.4,0.001,0.001
6,25.0,27.0,7.4,7.6,11120.0,11420.0,2.2,2.5,2.2,15.4,7.0,9.0,120.0,150.0,7340.0,7968.0,0.3,0.7,0.001,0.001
7,26.0,28.0,6.9,7.1,1584.0,3239.0,1.0,1.0,5.8,7.9,2.0,4.0,2.0,21.0,901.0,1764.0,0.6,1.3,0.001,0.001
8,26.0,28.0,7.0,7.1,3558.0,3780.0,1.0,1.0,10.4,11.4,2.0,6.0,2.0,33.0,1868.0,2144.0,0.5,1.5,0.001,0.001
9,27.0,27.0,8.1,8.1,1896.0,1920.0,1.4,1.8,0.3,2.8,3.0,3.0,14.0,21.0,1158.0,1170.0,0.8,0.9,0.001,0.001
10,28.0,29.0,7.1,7.3,1872.0,2741.0,1.0,1.0,5.2,6.8,2.0,4.0,2.0,16.0,1061.0,1361.0,0.5,0.5,0.001,0.001
11,23.0,27.0,7.2,7.3,6619.0,7770.0,1.0,1.0,5.8,6.2,2.0,2.0,2.0,14.0,4068.0,4413.0,1.0,1.1,0.001,0.001
12,28.0,28.0,7.6,7.6,1048.0,1048.0,1.5,1.5,3.22,3.22,3.0,3.0,93.0,93.0,680.0,680.0,0.7,0.7,0.001,0.001
14,24.0,24.0,7.1,7.1,1140.0,1140.0,2.4,2.4,8.0,8.0,4.0,4.0,93.0,93.0,746.0,746.0,0.8,0.8,0.002,0.003
15,22.0,23.0,7.2,7.3,9090.0,10500.0,2.0,2.2,5.2,7.41,3.0,3.0,23.0,28.0,5634.0,6600.0,1.4,1.7,0.001,0.001
16,25.0,25.0,7.1,7.8,1877.0,1970.0,1.4,1.8,0.3,0.7,3.0,3.0,21.0,39.0,1120.0,1160.0,0.3,0.3,0.001,0.001
17,24.0,26.0,7.0,7.6,310.0,1447.0,2.0,2.0,0.79,1.1,4.0,7.0,75.0,93.0,212.0,988.0,0.2,1.1,0.001,0.001
18,27.0,27.0,6.9,7.5,1380.0,1414.0,1.0,1.0,1.4,2.6,2.0,3.0,2.0,12.0,714.0,784.0,0.6,1.1,0.001,0.001
19,28.0,29.0,7.3,7.3,1027.0,1266.0,1.0,1.0,2.2,2.4,2.0,2.0,2.0,11.0,582.0,642.0,0.4,0.5,0.002,0.002
20,23.0,26.0,7.8,7.9,4520.0,5663.0,1.0,1.0,6.7,10.1,2.0,3.0,2.0,29.0,2568.0,3370.0,1.3,1.8,0.001,0.001
21,20.0,21.0,8.1,8.1,1080.0,1100.0,1.2,1.4,1.1,1.18,3.0,3.0,15.0,21.0,630.0,658.0,0.4,0.5,0.001,0.001
22,25.0,25.0,7.2,7.9,1780.0,2080.0,1.4,1.8,0.3,0.6,3.0,3.0,20.0,23.0,1050.0,1220.0,0.2,0.5,0.001,0.001
23,26.0,26.0,7.1,7.6,3850.0,3860.0,2.0,2.2,2.47,3.8,3.0,3.0,20.0,21.0,2310.0,2348.0,0.8,1.0,0.001,0.001
24,22.0,22.0,7.1,7.5,860.0,899.0,1.0,1.8,0.3,1.5,3.0,3.0,14.0,15.0,508.0,550.0,0.5,0.6,0.001,0.001
25,21.0,22.0,7.1,8.1,4450.0,4580.0,2.0,2.2,3.5,3.86,3.0,3.0,28.0,28.0,2790.0,2840.0,0.2,0.8,0.001,0.001
26,24.0,25.0,7.3,7.4,2810.0,3352.0,1.0,1.0,10.4,13.1,2.0,9.0,2.0,71.0,1589.0,1785.0,0.6,1.2,0.004,0.004
27,27.0,27.0,6.7,7.6,1610.0,1983.0,2.2,2.2,2.5,18.8,3.0,4.0,75.0,75.0,1120.0,1312.0,0.3,0.5,0.001,0.001
28,27.0,28.0,7.2,7.9,2180.0,2180.0,2.1,2.2,1.6,13.1,4.0,4.0,75.0,93.0,1480.0,1524.0,1.1,1.3,0.001,0.001
29,27.0,30.0,7.3,7.7,1147.0,1295.0,2.1,2.1,0.9,4.78,4.0,4.0,75.0,75.0,784.0,848.0,0.3,1.0,0.001,0.001
30,26.0,27.0,6.8,7.5,1977.0,2580.0,1.8,4.0,1.5,12.4,7.0,7.0,93.0,120.0,1296.0,1812.0,0.8,0.8,0.001,0.001
31,27.0,28.0,7.4,7.9,1120.0,1190.0,1.6,2.1,1.5,2.87,3.0,9.0,75.0,75.0,780.0,792.0,0.5,0.8,0.001,0.001
32,25.0,25.0,7.0,8.1,1597.0,2160.0,1.0,2.2,0.7,1.89,3.0,3.0,20.0,23.0,942.0,1314.0,0.4,0.7,0.001,0.001
33,25.0,26.0,7.0,7.2,276.0,278.0,2.3,2.3,0.7,0.8,2.0,2.0,2.0,2.0,156.0,224.0,0.3,0.3,0.01,0.01
34,30.0,31.0,7.4,7.5,304.0,329.0,2.0,2.1,0.8,0.8,2.0,2.0,2.0,2.0,172.0,180.0,0.3,0.3,0.01,0.01
35,27.0,29.0,7.2,7.6,366.0,390.0,2.0,2.6,0.7,1.0,2.0,2.0,2.0,2.0,202.0,218.0,0.3,0.3,0.01,0.01
36,24.0,26.0,6.8,7.1,328.0,332.0,2.3,2.5,1.1,1.4,2.0,2.0,2.0,2.0,184.0,218.0,0.2,0.3,0.01,0.01
37,25.0,25.0,7.2,7.2,308.0,308.0,2.3,2.3,0.8,0.8,-1.0,-1.0,-1.0,-1.0,176.0,176.0,0.3,0.3,-1.0,-1.0
38,27.0,29.0,7.3,7.6,401.0,408.0,2.3,2.5,0.8,1.0,2.0,2.0,2.0,2.0,218.0,224.0,0.3,0.3,0.01,0.01
39,25.0,26.0,6.8,7.3,284.0,288.0,2.2,2.6,0.7,0.8,2.0,2.0,2.0,2.0,160.0,166.0,0.3,0.3,0.01,0.01
40,27.0,28.0,7.8,7.8,352.0,354.0,2.0,2.6,0.8,1.0,2.0,2.0,2.0,2.0,194.0,200.0,0.3,0.4,0.01,0.01
41,23.0,23.0,6.8,7.4,196.0,291.0,2.1,2.2,0.8,0.9,2.0,2.0,2.0,2.0,118.0,166.0,0.3,0.3,-1.0,-1.0
42,26.0,26.0,7.7,7.7,315.0,315.0,2.0,2.0,0.9,0.9,-1.0,-1.0,-1.0,-1.0,178.0,178.0,0.3,0.3,-1.0,-1.0
43,23.0,28.0,6.7,7.8,262.0,266.0,1.8,2.2,0.8,1.0,2.0,2.0,2.0,2.0,142.0,150.0,0.3,0.3,-1.0,-1.0
44,23.0,25.0,6.8,8.0,248.0,259.0,2.1,2.3,0.9,1.1,2.0,2.0,2.0,2.0,140.0,148.0,0.3,0.3,0.01,0.01
45,25.0,32.0,7.6,7.6,311.0,322.0,2.0,2.2,0.7,0.9,2.0,2.0,2.0,2.0,170.0,180.0,0.3,0.3,0.01,0.01
46,26.0,28.0,7.4,7.7,295.0,351.0,2.0,2.1,0.7,1.0,2.0,2.0,2.0,2.0,168.0,198.0,0.3,0.3,-1.0,-1.0
47,26.0,30.0,7.6,7.8,258.0,262.0,2.2,2.3,0.8,0.8,2.0,2.0,2.0,2.0,148.0,148.0,0.3,0.3,0.01,0.01
48,25.0,29.0,7.6,8.0,365.0,370.0,2.3,2.3,0.8,0.8,2.0,2.0,2.0,2.0,202.0,204.0,0.3,0.3,0.01,0.01
49,22.0,26.0,7.3,7.4,235.0,280.0,2.0,2.0,0.8,0.9,2.0,2.0,2.0,2.0,136.0,158.0,0.3,0.3,0.01,0.01
50,34.0,37.0,7.3,7.4,308.0,356.0,2.4,2.6,0.9,1.0,2.0,2.0,2.0,2.0,176.0,196.0,0.2,0.3,0.01,0.01
51,26.0,26.0,7.0,7.0,312.0,312.0,2.2,2.2,0.9,0.9,-1.0,-1.0,-1.0,-1.0,180.0,180.0,0.3,0.3,-1.0,-1.0
52,21.0,25.0,7.2,7.7,261.0,390.0,2.4,2.4,0.8,0.9,2.0,2.0,2.0,2.0,148.0,218.0,0.3,0.3,0.001,0.001
53,23.0,25.0,7.0,7.2,216.0,287.0,2.0,2.2,0.8,0.9,2.0,2.0,2.0,2.0,128.0,160.0,0.3,0.3,-1.0,-1.0
54,24.0,30.0,7.3,7.5,320.0,362.0,2.1,2.3,0.9,1.0,2.0,2.0,2.0,2.0,176.0,200.0,0.3,0.3,0.01,0.01
55,25.0,25.0,7.3,7.4,264.0,268.0,2.5,2.5,1.0,1.0,2.0,2.0,2.0,2.0,150.0,152.0,0.3,0.3,0.01,0.01
56,26.0,29.0,7.2,7.3,318.0,323.0,1.8,2.2,0.6,0.8,2.0,2.0,2.0,2.0,176.0,180.0,0.3,0.4,0.01,0.01
57,22.0,24.0,7.0,7.2,182.0,318.0,2.1,2.2,0.7,0.7,2.0,2.0,2.0,2.0,110.0,182.0,0.3,0.3,0.001,0.001
58,22.0,24.0,7.3,7.3,256.0,298.0,2.0,2.3,0.8,0.9,2.0,2.0,2.0,2.0,148.0,168.0,0.3,0.3,0.01,0.01
59,28.0,28.0,7.3,7.3,289.0,340.0,2.1,2.2,0.7,0.9,2.0,2.0,2.0,2.0,164.0,192.0,0.3,0.3,-1.0,-1.0
60,29.0,32.0,7.4,7.8,361.0,362.0,2.0,2.2,0.9,0.9,2.0,2.0,2.0,2.0,202.0,202.0,0.3,0.3,0.01,0.01
61,28.0,32.0,7.5,8.0,241.0,258.0,2.1,2.4,0.6,0.7,2.0,2.0,2.0,2.0,140.0,146.0,0.3,0.5,0.01,0.01
62,22.0,25.0,6.8,7.5,208.0,242.0,1.9,2.0,0.7,0.9,2.0,2.0,2.0,2.0,122.0,140.0,0.3,0.3,-1.0,-1.0
63,24.0,24.0,7.0,7.2,321.0,329.0,2.2,2.4,0.9,0.9,2.0,2.0,2.0,2.0,178.0,180.0,0.3,0.3,0.01,0.01
64,24.0,26.0,7.0,7.6,190.0,223.0,2.0,2.2,0.8,0.9,2.0,2.0,2.0,2.0,118.0,126.0,0.3,0.3,-1.0,-1.0
65,26.0,26.0,7.5,7.5,307.0,307.0,2.0,2.0,0.7,0.7,-1.0,-1.0,-1.0,-1.0,172.0,172.0,0.3,0.3,-1.0,-1.0
66,24.0,25.0,7.2,7.3,148.0,326.0,2.0,2.4,0.8,0.9,2.0,2.0,2.0,2.0,92.0,180.0,0.3,0.3,0.01,0.01
67,24.0,25.0,6.9,7.2,326.0,336.0,2.3,2.4,0.7,0.8,2.0,2.0,2.0,2.0,180.0,184.0,0.3,0.3,0.01,0.01
68,26.0,28.0,7.6,7.7,326.0,332.0,2.0,2.2,1.0,1.0,2.0,2.0,2.0,2.0,180.0,190.0,0.3,0.3,0.01,0.01
69,26.0,30.0,7.2,7.3,246.0,380.0,1.9,2.3,0.7,0.8,2.0,2.0,2.0,2.0,142.0,208.0,0.3,0.3,-1.0,-1.0
70,19.0,20.0,7.4,7.9,241.0,312.0,2.4,2.5,0.8,1.0,2.0,2.0,2.0,2.0,138.0,174.0,0.3,0.6,0.01,0.01
71,26.0,27.0,6.8,7.0,290.0,312.0,2.0,2.6,0.8,0.8,2.0,2.0,2.0,2.0,164.0,174.0,0.3,0.3,0.01,0.01
72,28.0,29.0,7.2,7.2,360.0,363.0,2.1,2.3,0.8,0.8,2.0,2.0,2.0,2.0,194.0,206.0,0.3,0.3,0.01,0.01
73,28.0,28.0,7.0,7.2,286.0,342.0,1.9,2.3,0.6,0.8,2.0,2.0,2.0,2.0,162.0,186.0,0.3,0.3,-1.0,-1.0
74,26.0,26.0,7.2,7.2,328.0,328.0,2.2,2.2,0.8,0.8,-1.0,-1.0,-1.0,-1.0,186.0,186.0,0.3,0.3,-1.0,-1.0
75,24.0,25.0,7.4,7.4,194.0,330.0,2.1,2.2,0.8,1.1,2.0,2.0,2.0,2.0,114.0,190.0,0.3,0.3,0.001,0.001
76,26.0,29.0,7.2,7.6,290.0,350.0,1.7,2.0,0.7,0.8,2.0,2.0,2.0,2.0,166.0,190.0,0.3,0.3,-1.0,-1.0
